routeId,stopSequence,stopId,distanceToNextStop
1,0,33,392
1,1,79,283
1,2,76,267
1,3,3691,137
1,4,2028,255
1,5,4223,610
1,6,120,206
1,7,121,223
1,8,122,281
1,9,123,243
1,10,124,415
1,11,125,289
1,12,126,392
1,13,127,113
1,14,128,231
1,15,129,221
1,16,130,229
1,17,131,180
1,18,134,307
1,19,132,317
1,20,14,271
1,21,136,270
1,22,133,347
1,23,135,195
1,24,137,76
1,25,138,358
1,26,139,276
1,27,8,0
10,0,538,52
10,1,7632,499
10,2,7651,1113
10,3,574,3652
10,4,1113,1707
10,5,410,4031
10,6,415,3368
10,7,420,2598
10,8,726,1408
10,9,727,826
10,10,568,586
10,11,95,1661
10,12,571,1039
10,13,434,2042
10,14,728,2078
10,15,115,884
10,16,725,0
100,0,496,92
100,1,2148,220
100,2,2149,324
100,3,2151,289
100,4,2150,524
100,5,2153,234
100,6,3019,302
100,7,3020,426
100,8,3021,395
100,9,3023,418
100,10,3025,355
100,11,3024,369
100,12,3026,314
100,13,3027,323
100,14,3028,481
100,15,3029,650
100,16,3030,570
100,17,3031,491
100,18,3032,426
100,19,3033,345
100,20,3034,432
100,21,3035,318
100,22,3036,447
100,23,3038,442
100,24,3039,509
100,25,3040,426
100,26,3041,735
100,27,3042,559
100,28,4421,30431
100,29,7212,0
101,0,1403,251
101,1,2890,321
101,2,2893,426
101,3,2895,224
101,4,2550,245
101,5,2541,302
101,6,7600,424
101,7,7599,485
101,8,2543,258
101,9,2545,204
101,10,2552,241
101,11,1768,324
101,12,2107,335
101,13,2110,175
101,14,594,199
101,15,593,452
101,16,595,167
101,17,596,324
101,18,597,262
101,19,598,338
101,20,599,534
101,21,7577,527
101,22,601,313
101,23,256,329
101,24,257,238
101,25,258,460
101,26,600,249
101,27,602,275
101,28,604,118
101,29,603,285
101,30,606,109
101,31,1719,202
101,32,1720,228
101,33,1301,237
101,34,1723,440
101,35,1724,110
101,36,3159,264
101,37,4337,412
101,38,2396,277
101,39,7293,290
101,40,7292,270
101,41,3574,321
101,42,3575,372
101,43,3576,266
101,44,3577,318
101,45,3578,345
101,46,3579,200
101,47,1570,162
101,48,1567,435
101,49,1571,231
101,50,1022,0
102,0,35,173
102,1,7276,326
102,2,7277,221
102,3,7278,588
102,4,7264,136
102,5,4223,404
102,6,1944,581
102,7,1297,233
102,8,3478,557
102,9,1296,250
102,10,3477,242
102,11,1299,513
102,12,1298,203
102,13,2711,80
102,14,2709,514
102,15,2712,378
102,16,1300,396
102,17,906,282
102,18,907,219
102,19,910,430
102,20,909,277
102,21,908,265
102,22,510,191
102,23,603,285
102,24,606,109
102,25,1719,202
102,26,1720,228
102,27,1301,408
102,28,2713,426
102,29,2200,400
102,30,2205,445
102,31,1302,171
102,32,2202,215
102,33,268,482
102,34,267,712
102,35,270,477
102,36,271,696
102,37,272,230
102,38,273,811
102,39,275,453
102,40,277,997
102,41,1115,68
102,42,1239,162
102,43,166,0
104,0,278,276
104,1,464,490
104,2,470,276
104,3,437,442
104,4,439,167
104,5,440,523
104,6,1981,142
104,7,3166,319
104,8,3519,237
104,9,3521,489
104,10,3523,277
104,11,3524,138
104,12,3079,316
104,13,3078,719
104,14,1438,368
104,15,1436,664
104,16,1437,245
104,17,1439,383
104,18,1441,368
104,19,1440,310
104,20,1447,67
104,21,1442,265
104,22,1448,325
104,23,1443,387
104,24,1201,331
104,25,1199,746
104,26,1202,351
104,27,1200,224
104,28,1204,439
104,29,835,512
104,30,7070,497
104,31,1257,767
104,32,3526,571
104,33,1260,505
104,34,1371,1045
104,35,3525,550
104,36,3527,319
104,37,2189,301
104,38,2185,276
104,39,2187,489
104,40,2190,273
104,41,2188,170
104,42,1999,557
104,43,2118,235
104,44,7304,0
105,0,35,173
105,1,7276,326
105,2,7277,221
105,3,7278,89
105,4,120,74
105,5,3080,320
105,6,84,407
105,7,1297,233
105,8,3478,286
105,9,1882,370
105,10,1889,382
105,11,1884,215
105,12,1890,179
105,13,1885,135
105,14,1413,278
105,15,1416,290
105,16,1411,362
105,17,1412,434
105,18,3301,335
105,19,3302,334
105,20,3303,133
105,21,1007,308
105,22,1013,320
105,23,1008,266
105,24,2855,386
105,25,2852,481
105,26,3480,385
105,27,3479,476
105,28,1020,219
105,29,1029,246
105,30,1616,264
105,31,1604,271
105,32,1617,198
105,33,1619,219
105,34,2583,300
105,35,4292,250
105,36,4317,388
105,37,4318,406
105,38,4319,226
105,39,4320,192
105,40,4277,279
105,41,4278,566
105,42,4279,194
105,43,4280,336
105,44,3481,329
105,45,2584,84
105,46,2591,229
105,47,2586,287
105,48,2593,326
105,49,3483,370
105,50,1967,333
105,51,1970,251
105,52,1973,215
105,53,2592,248
105,54,2597,364
105,55,2594,279
105,56,2596,340
105,57,2598,140
105,58,2600,440
105,59,2602,361
105,60,2000,356
105,61,2005,344
105,62,2917,325
105,63,3101,327
105,64,3100,469
105,65,3103,292
105,66,2504,249
105,67,2505,301
105,68,2521,887
105,69,2520,245
105,70,7607,362
105,71,7606,632
105,72,7605,177
105,73,7604,0
106,0,1185,235
106,1,3485,440
106,2,3489,324
106,3,3491,473
106,4,3487,538
106,5,3493,1490
106,6,3488,689
106,7,3490,531
106,8,3494,576
106,9,3492,1279
106,10,3495,439
106,11,3497,564
106,12,3496,415
106,13,3499,527
106,14,3498,823
106,15,3500,966
106,16,3502,611
106,17,3501,1085
106,18,3503,1391
106,19,3505,533
106,20,3504,452
106,21,3506,591
106,22,3507,486
106,23,3510,808
106,24,3509,672
106,25,3512,865
106,26,3508,581
106,27,3513,574
106,28,3511,1000
106,29,3517,265
106,30,3514,597
106,31,3515,1046
106,32,3518,637
106,33,3520,1117
106,34,3516,843
106,35,3522,0
107,0,732,217
107,1,734,560
107,2,733,324
107,3,738,461
107,4,735,1048
107,5,741,1481
107,6,736,372
107,7,743,492
107,8,737,1674
107,9,745,436
107,10,739,50222
107,11,7509,0
108,0,732,217
108,1,734,560
108,2,733,324
108,3,738,461
108,4,735,1048
108,5,741,1481
108,6,736,372
108,7,743,492
108,8,737,1674
108,9,745,298
108,10,4680,139
108,11,739,46458
108,12,7261,0
109,0,35,623
109,1,89,473
109,2,385,456
109,3,387,809
109,4,3182,749
109,5,433,537
109,6,503,649
109,7,546,510
109,8,505,340
109,9,506,716
109,10,507,262
109,11,548,596
109,12,508,285
109,13,509,709
109,14,510,612
109,15,555,276
109,16,259,882
109,17,262,458
109,18,263,656
109,19,265,667
109,20,266,725
109,21,267,712
109,22,270,477
109,23,271,696
109,24,272,230
109,25,273,811
109,26,275,453
109,27,277,997
109,28,1115,1162
109,29,1152,993
109,30,1156,644
109,31,1155,2415
109,32,1303,2037
109,33,1305,1612
109,34,1304,2061
109,35,3639,615
109,36,1307,1715
109,37,1306,1916
109,38,1309,2967
109,39,3648,2636
109,40,734,2392
109,41,741,1850
109,42,743,2564
109,43,739,28420
109,44,7218,0
10951,0,48316,3427
10951,1,48317,2788
10951,2,48318,1871
10951,3,7508,1804
10951,4,48319,0
10973,1,48652,11877
10973,2,48653,0
11,0,732,217
11,1,734,560
11,2,733,324
11,3,738,461
11,4,735,652
11,5,7679,397
11,6,741,1481
11,7,736,372
11,8,743,492
11,9,737,1674
11,10,745,436
11,11,739,177
11,12,746,221
11,13,7707,205
11,14,789,355
11,15,742,973
11,16,748,242
11,17,750,481
11,18,744,514
11,19,752,339
11,20,5789,269
11,21,7706,132
11,22,754,503
11,23,756,390
11,24,747,512
11,25,749,691
11,26,758,549
11,27,751,254
11,28,760,1436
11,29,771,0
110,0,955,5559
110,1,7281,0
111,0,166,230
111,1,1115,465
111,2,1151,697
111,3,1152,137
111,4,3141,451
111,5,3140,369
111,6,3145,345
111,7,3142,593
111,8,3146,189
111,9,2284,188
111,10,3143,208
111,11,3144,267
111,12,3147,287
111,13,3148,770
111,14,3150,202
111,15,3152,291
111,16,3154,278
111,17,3149,329
111,18,3151,1357
111,19,2325,417
111,20,2326,513
111,21,3583,505
111,22,3585,651
111,23,3582,521
111,24,3584,355
111,25,3587,402
111,26,3586,518
111,27,3588,582
111,28,3590,486
111,29,3591,431
111,30,3589,171
111,31,3470,482
111,32,3469,422
111,33,3472,614
111,34,3471,592
111,35,3474,548
111,36,3473,664
111,37,3476,653
111,38,3475,417
111,39,3593,354
111,40,3592,351
111,41,3595,651
111,42,3594,628
111,43,3596,680
111,44,3598,320
111,45,3597,345
111,46,3599,411
111,47,3601,893
111,48,3600,0
112,0,35,173
112,1,7276,326
112,2,7277,145
112,3,1451,218
112,4,1344,792
112,5,1196,228
112,6,1194,339
112,7,1198,1000
112,8,1197,379
112,9,1201,331
112,10,1199,746
112,11,1202,351
112,12,1200,224
112,13,1204,194
112,14,7594,880
112,15,3621,540
112,16,3622,474
112,17,3624,279
112,18,7068,342
112,19,3623,475
112,20,7077,501
112,21,3628,603
112,22,3625,1336
112,23,7075,725
112,24,7072,420
112,25,4225,776
112,26,1078,414
112,27,1074,366
112,28,7592,455
112,29,1076,452
112,30,1077,324
112,31,1080,306
112,32,1079,540
112,33,1081,406
112,34,7307,595
112,35,1082,371
112,36,1085,550
112,37,1084,428
112,38,1087,570
112,39,1086,879
112,40,1089,581
112,41,1091,703
112,42,1088,0
113,0,3720,97
113,1,699,431
113,2,698,251
113,3,701,665
113,4,3722,501
113,5,3724,580
113,6,3721,686
113,7,2240,234
113,8,4599,425
113,9,4601,514
113,10,3726,450
113,11,3729,374
113,12,3730,367
113,13,3732,392
113,14,3731,710
113,15,3733,702
113,16,3735,476
113,17,3739,256
113,18,3734,373
113,19,3741,496
113,20,3736,627
113,21,3737,803
113,22,3738,543
113,23,3740,355
113,24,3449,520
113,25,1790,514
113,26,3462,548
113,27,3466,397
113,28,3463,330
113,29,3464,331
113,30,3465,488
113,31,3468,490
113,32,3289,508
113,33,3288,643
113,34,3290,437
113,35,3467,424
113,36,3292,317
113,37,3293,466
113,38,3291,356
113,39,3294,394
113,40,3296,418
113,41,3295,482
113,42,3297,551
113,43,2172,0
114,0,166,255
114,1,1116,434
114,2,1151,697
114,3,1152,328
114,4,1154,365
114,5,1153,300
114,6,1156,344
114,7,7800,300
114,8,1155,442
114,9,1158,179
114,10,1160,507
114,11,4592,323
114,12,1157,491
114,13,4751,473
114,14,1303,552
114,15,2270,601
114,16,4752,337
114,17,3636,548
114,18,1305,543
114,19,3634,258
114,20,3637,811
114,21,1304,709
114,22,4758,575
114,23,4702,777
114,24,3639,615
114,25,1307,608
114,26,3638,747
114,27,3640,374
114,28,1306,609
114,29,3642,736
114,30,3641,570
114,31,1309,566
114,32,3643,548
114,33,3644,842
114,34,1308,600
114,35,3645,415
114,36,3648,490
114,37,3646,568
114,38,3647,559
114,39,1311,809
114,40,732,0
115,0,35,173
115,1,7276,541
115,2,27,554
115,3,28,193
115,4,1256,227
115,5,32,79
115,6,2114,109
115,7,2115,373
115,8,2116,420
115,9,855,293
115,10,857,514
115,11,858,332
115,12,860,1061
115,13,859,381
115,14,843,145
115,15,2122,280
115,16,2123,458
115,17,2125,243
115,18,2124,283
115,19,2126,402
115,20,2130,622
115,21,2127,342
115,22,2128,422
115,23,2132,268
115,24,2131,246
115,25,2135,223
115,26,2133,250
115,27,2136,202
115,28,2134,201
115,29,1362,220
115,30,1358,228
115,31,1360,372
115,32,1366,511
115,33,1055,603
115,34,1058,286
115,35,1061,392
115,36,1063,390
115,37,1060,402
115,38,1065,267
115,39,1062,537
115,40,1066,279
115,41,1064,144
115,42,2138,324
115,43,2137,286
115,44,2141,360
115,45,2139,300
115,46,2144,1795
115,47,3662,2408
115,48,3664,3507
115,49,3663,1230
115,50,3666,2996
115,51,3665,1373
115,52,3667,1621
115,53,3669,11013
115,54,3670,7952
115,55,3671,1774
115,56,3683,0
116,0,3692,1805
116,1,3693,375
116,2,3695,199
116,3,3694,193
116,4,3696,620
116,5,3698,766
116,6,3697,376
116,7,3700,877
116,8,3699,165
116,9,3701,508
116,10,3702,527
116,11,3703,232
116,12,3704,329
116,13,3705,603
116,14,3706,522
116,15,3707,333
116,16,4129,489
116,17,3708,925
116,18,1524,748
116,19,1529,474
116,20,1526,339
116,21,1531,380
116,22,1528,244
116,23,3709,439
116,24,3710,578
116,25,3711,446
116,26,3712,296
116,27,3713,292
116,28,3714,312
116,29,1537,258
116,30,1534,172
116,31,1536,361
116,32,1539,324
116,33,1538,173
116,34,494,710
116,35,498,625
116,36,7159,447
116,37,495,1103
116,38,536,570
116,39,537,958
116,40,3715,436
116,41,3716,242
116,42,3717,952
116,43,7695,0
117,0,3771,628
117,1,3772,898
117,2,3770,1947
117,3,3774,429
117,4,3674,270
117,5,3775,326
117,6,3776,432
117,7,3673,2510
117,8,7674,1353
117,9,6924,484
117,10,6922,321
117,11,6920,334
117,12,4235,771
117,13,6918,670
117,14,6916,523
117,15,6914,286
117,16,6911,336
117,17,6910,0
118,0,2745,119
118,1,3426,331
118,2,3804,385
118,3,3805,491
118,4,3806,344
118,5,3852,634
118,6,3847,355
118,7,3849,491
118,8,3851,294
118,9,3850,89
118,10,3221,338
118,11,3222,434
118,12,3223,492
118,13,3244,346
118,14,3812,352
118,15,3818,356
118,16,3841,318
118,17,3815,679
118,18,3839,340
118,19,3816,320
118,20,3814,371
118,21,3821,370
118,22,3822,298
118,23,3824,164
118,24,2266,345
118,25,2257,417
118,26,3825,357
118,27,3826,494
118,28,3827,404
118,29,3828,357
118,30,7610,641
118,31,7613,264
118,32,7671,356
118,33,7669,773
118,34,7667,481
118,35,7665,454
118,36,7663,371
118,37,7660,631
118,38,7659,696
118,39,3945,998
118,40,2222,443
118,41,3949,557
118,42,3939,344
118,43,2265,336
118,44,2227,0
119,0,732,217
119,1,734,560
119,2,733,324
119,3,738,317
119,4,3856,614
119,5,3857,1030
119,6,3858,792
119,7,3859,1154
119,8,3860,1288
119,9,3861,597
119,10,7676,369
119,11,3886,950
119,12,3863,362
119,13,3865,872
119,14,3864,963
119,15,3866,1074
119,16,3867,1119
119,17,3868,1330
119,18,3870,545
119,19,3869,2318
119,20,3872,998
119,21,3871,1310
119,22,3873,692
119,23,3515,1046
119,24,3518,637
119,25,3520,1117
119,26,3516,866
119,27,3874,0
12,0,278,328
12,1,4418,204
12,2,753,361
12,3,755,453
12,4,7040,761
12,5,7042,225
12,6,757,217
12,7,4354,408
12,8,759,545
12,9,762,343
12,10,1589,254
12,11,7045,1576
12,12,803,517
12,13,7583,437
12,14,770,249
12,15,7049,246
12,16,763,297
12,17,1847,635
12,18,1849,324
12,19,1848,671
12,20,4256,1170
12,21,637,581
12,22,638,192
12,23,7030,367
12,24,7031,478
12,25,7032,556
12,26,7033,723
12,27,7034,244
12,28,3788,298
12,29,3791,281
12,30,3790,452
12,31,3793,683
12,32,7142,1053
12,33,2161,85
12,34,4761,0
121,0,8,451
121,1,620,272
121,2,622,266
121,3,624,580
121,4,623,586
121,5,4763,349
121,6,4764,181
121,7,4765,270
121,8,4766,350
121,9,3455,223
121,10,3457,335
121,11,3458,270
121,12,3459,335
121,13,3460,582
121,14,3461,401
121,15,3423,371
121,16,2310,432
121,17,2312,445
121,18,2313,421
121,19,3462,548
121,20,3466,397
121,21,3463,330
121,22,3464,331
121,23,3465,488
121,24,3468,490
121,25,3289,508
121,26,3288,643
121,27,3290,437
121,28,3467,488
121,29,3470,482
121,30,3469,422
121,31,3472,614
121,32,3471,592
121,33,3474,548
121,34,3473,664
121,35,3476,653
121,36,3475,614
121,37,3894,328
121,38,3896,282
121,39,3895,231
121,40,3897,341
121,41,3898,596
121,42,3899,843
121,43,3900,685
121,44,3901,1049
121,45,3902,1294
121,46,3903,840
121,47,3904,180
121,48,3905,0
124,0,278,188
124,1,621,374
124,2,622,266
124,3,624,580
124,4,623,384
124,5,626,286
124,6,627,341
124,7,628,340
124,8,629,556
124,9,1386,289
124,10,117,481
124,11,116,102
124,12,4150,288
124,13,630,617
124,14,631,449
124,15,632,422
124,16,633,333
124,17,634,363
124,18,635,575
124,19,636,991
124,20,637,581
124,21,638,1169
124,22,2155,381
124,23,2152,267
124,24,2154,304
124,25,2157,383
124,26,4597,392
124,27,2156,170
124,28,3962,404
124,29,4600,372
124,30,3946,542
124,31,3969,544
124,32,3942,638
124,33,3959,637
124,34,3947,241
124,35,3933,0
125,0,166,230
125,1,1115,465
125,2,1151,697
125,3,1152,328
125,4,1154,365
125,5,1153,300
125,6,1156,344
125,7,7800,300
125,8,1155,442
125,9,1158,179
125,10,1160,507
125,11,4592,323
125,12,1157,67
125,13,4586,526
125,14,1162,323
125,15,1164,146
125,16,7704,202
125,17,1161,210
125,18,2259,404
125,19,2268,449
125,20,2261,219
125,21,3954,317
125,22,3950,359
125,23,3953,969
125,24,3951,504
125,25,3974,603
125,26,2224,594
125,27,3945,998
125,28,2222,443
125,29,3949,557
125,30,3939,344
125,31,2265,336
125,32,2227,0
127,0,732,814
127,1,4020,676
127,2,4021,410
127,3,4022,562
127,4,4639,449
127,5,5818,326
127,6,4023,732
127,7,4024,597
127,8,4027,318
127,9,4025,176
127,10,7708,295
127,11,4030,941
127,12,4026,480
127,13,4028,485
127,14,4029,422
127,15,4031,829
127,16,3975,501
127,17,951,649
127,18,943,251
127,19,4033,531
127,20,4034,1089
127,21,4032,1158
127,22,7714,588
127,23,4036,422
127,24,4035,739
127,25,4038,337
127,26,4037,742
127,27,4039,818
127,28,4040,825
127,29,4041,348
127,30,4045,371
127,31,4042,696
127,32,3506,345
127,33,3957,0
128,0,35,173
128,1,7276,429
128,2,26,179
128,3,27,612
128,4,7266,60
128,5,7693,70
128,6,1256,227
128,7,32,469
128,8,31,367
128,9,1092,297
128,10,1093,228
128,11,1094,167
128,12,2572,252
128,13,2573,507
128,14,2579,2181
128,15,2939,264
128,16,2941,439
128,17,3990,320
128,18,3995,314
128,19,3991,322
128,20,2944,600
128,21,2945,1066
128,22,3998,359
128,23,4000,273
128,24,3993,624
128,25,4002,289
128,26,4004,259
128,27,3996,330
128,28,3997,159
128,29,4006,316
128,30,4008,283
128,31,3999,391
128,32,4010,264
128,33,4001,386
128,34,4003,411
128,35,4012,282
128,36,4005,372
128,37,4014,380
128,38,4007,681
128,39,4009,403
128,40,4011,424
128,41,4013,254
128,42,4016,496
128,43,1516,626
128,44,4130,430
128,45,4017,252
128,46,4018,531
128,47,3761,936
128,48,3763,393
128,49,3762,778
128,50,3764,570
128,51,3766,104
128,52,3765,315
128,53,4019,0
129,0,394,371
129,1,4460,330
129,2,4456,263
129,3,4457,452
129,4,4499,449
129,5,4077,305
129,6,4067,341
129,7,1108,320
129,8,1110,229
129,9,400,357
129,10,402,238
129,11,403,295
129,12,404,426
129,13,405,775
129,14,1540,494
129,15,1542,601
129,16,1543,377
129,17,1545,231
129,18,4079,316
129,19,4080,289
129,20,4082,232
129,21,4071,383
129,22,4072,363
129,23,4074,706
129,24,347,698
129,25,349,274
129,26,350,185
129,27,353,447
129,28,351,422
129,29,355,1239
129,30,3188,330
129,31,3189,467
129,32,3190,154
129,33,585,630
129,34,584,371
129,35,4137,440
129,36,7508,0
13,0,35,173
13,1,7276,326
13,2,7277,221
13,3,7278,609
13,4,4275,225
13,5,7564,172
13,6,853,866
13,7,856,155
13,8,855,293
13,9,857,514
13,10,858,332
13,11,860,1061
13,12,859,83
13,13,862,504
13,14,4125,588
13,15,866,327
13,16,863,987
13,17,869,692
13,18,864,353
13,19,865,510
13,20,872,611
13,21,2689,465
13,22,868,868
13,23,873,347
13,24,870,489
13,25,875,321
13,26,871,1037
13,27,877,836
13,28,874,472
13,29,876,342
13,30,879,731
13,31,881,566
13,32,884,397
13,33,878,383
13,34,880,685
13,35,882,396
13,36,886,545
13,37,887,1014
13,38,883,693
13,39,885,477
13,40,889,412
13,41,891,390
13,42,893,493
13,43,888,327
13,44,892,538
13,45,894,541
13,46,895,144
13,47,702,620
13,48,704,1038
13,49,705,633
13,50,706,995
13,51,711,419
13,52,708,401
13,53,712,327
13,54,709,343
13,55,714,563
13,56,710,419
13,57,716,319
13,58,713,281
13,59,725,0
130,0,3661,31
130,1,3662,2408
130,2,3664,3507
130,3,3663,1230
130,4,3666,2996
130,5,3665,1373
130,6,3667,1621
130,7,3669,11013
130,8,3670,7952
130,9,3671,1774
130,10,3683,687
130,11,3673,1741
130,13,6930,612
130,14,6928,830
130,15,6926,525
130,16,6924,484
130,17,6922,321
130,18,6920,334
130,19,4235,771
130,20,6918,670
130,21,6916,523
130,22,6914,286
130,23,6911,336
130,24,6910,0
131,0,725,854
131,1,141,3326
131,2,3165,452
131,3,3167,252
131,4,4,182
131,5,7,156
131,6,9,159
131,7,12,219
131,8,6,188
131,9,10,175
131,10,3166,327
131,11,3169,377
131,12,3170,399
131,13,3172,327
131,14,386,276
131,15,3171,220
131,16,1909,361
131,17,92,352
131,18,1911,237
131,19,1912,395
131,20,731,200
131,21,1913,326
131,22,1917,416
131,23,1914,320
131,24,1920,305
131,25,1915,391
131,26,1924,731
131,27,2033,291
131,28,2727,271
131,29,2109,213
131,30,591,113
131,31,2039,231
131,32,3173,369
131,33,1771,132
131,34,518,206
131,35,519,306
131,36,520,299
131,37,521,416
131,38,366,121
131,39,299,621
131,40,302,321
131,41,522,245
131,42,305,1720
131,43,304,1771
131,44,307,2245
131,45,318,753
131,46,2479,0
133,0,35,173
133,1,7276,326
133,2,7277,221
133,3,7278,547
133,4,30,180
133,5,1256,316
133,6,4271,180
133,7,2724,253
133,8,4272,198
133,9,4273,246
133,10,4274,320
133,11,243,269
133,12,244,177
133,13,1920,305
133,14,1915,391
133,15,1924,886
133,16,730,329
133,17,1916,433
